policy_ref,coverholder_id,coverholder_name,inception_date,expiry_date,class_of_business,insured_name,postcode,premium,sum_insured,underwriting_year,bound_month
POL-CH004-00173,CH004,Southgate Property Partners,2024-03-14,2025-03-14,Commercial Property,King Group,SW1 2QH,1974,317276,2024,2024-03
POL-CH004-00174,CH004,Southgate Property Partners,2024-03-02,2025-03-02,Commercial Property,"Scott, Jennings and Moore",CM1 2FB,2080,553273,2024,2024-03
POL-CH004-00175,CH004,Southgate Property Partners,2024-03-08,2025-03-08,Commercial Property,Day Group,IG1 3XC,1741,440171,2024,2024-03
POL-CH004-00176,CH004,Southgate Property Partners,2024-03-14,2025-03-14,Commercial Property,Simpson-Gregory,KT2 4IQ,2172,359877,2024,2024-03
POL-CH004-00177,CH004,Southgate Property Partners,2024-03-28,2025-03-28,Commercial Property,Gregory-Morris,IG1 9RP,1921,401259,2024,2024-03
POL-CH004-00178,CH004,Southgate Property Partners,2024-03-04,2025-03-04,Commercial Property,"Day, Stone and Davies",WN1 1MP,1852,322699,2024,2024-03
POL-CH004-00179,CH004,Southgate Property Partners,2024-03-03,2025-03-03,Commercial Property,Foster-Smith,SL1 3JM,1813,449799,2024,2024-03
POL-CH005-00180,CH005,Ironclad Construction Risks,2024-03-14,2025-03-14,EL/PL Liability,Smith-Noble,S37 2YA,3348,922977,2024,2024-03
POL-CH005-00181,CH005,Ironclad Construction Risks,2024-03-16,2025-03-16,EL/PL Liability,"Cole, Francis and Whitehead",FK5W 5HG,2001,730848,2024,2024-03
POL-CH005-00182,CH005,Ironclad Construction Risks,2024-03-16,2025-03-16,EL/PL Liability,Hill-Allen,NP21 4SB,2743,928470,2024,2024-03
POL-CH005-00183,CH005,Ironclad Construction Risks,2024-03-07,2025-03-07,EL/PL Liability,Austin-Riley,W4H 7JY,1969,474041,2024,2024-03
POL-CH005-00184,CH005,Ironclad Construction Risks,2024-03-28,2025-03-28,EL/PL Liability,Thompson-Barker,B6 8XR,2132,281415,2024,2024-03
POL-CH005-00185,CH005,Ironclad Construction Risks,2024-03-13,2025-03-13,EL/PL Liability,Powell-Begum,HU3 2ZJ,2189,486130,2024,2024-03
POL-CH005-00186,CH005,Ironclad Construction Risks,2024-03-02,2025-03-02,EL/PL Liability,"Butler, Davey and Shaw",N0S 6TS,2717,651263,2024,2024-03
POL-CH005-00187,CH005,Ironclad Construction Risks,2024-03-06,2025-03-06,EL/PL Liability,"Peacock, Taylor and Brown",SL78 4QL,4063,742563,2024,2024-03
POL-CH005-00188,CH005,Ironclad Construction Risks,2024-03-13,2025-03-13,EL/PL Liability,Smith Inc,W47 1SB,2150,465237,2024,2024-03
POL-CH005-00189,CH005,Ironclad Construction Risks,2024-03-01,2025-03-01,EL/PL Liability,"Morgan, Wood and Bennett",E3S 6JT,2983,401965,2024,2024-03
POL-CH001-00190,CH001,Avonbridge Underwriting,2024-04-13,2025-04-13,Commercial Property,"Ward, Robinson and Herbert",NW2 4LS,5686,750300,2024,2024-04
POL-CH001-00191,CH001,Avonbridge Underwriting,2024-04-09,2025-04-09,Commercial Property,"Chapman, Morgan and Bennett",S6 1RX,2041,1137697,2024,2024-04
POL-CH001-00192,CH001,Avonbridge Underwriting,2024-04-26,2025-04-26,Commercial Property,Bennett Inc,B75 4JQ,4055,1113035,2024,2024-04
POL-CH001-00193,CH001,Avonbridge Underwriting,2024-04-26,2025-04-26,Commercial Property,Wallis Ltd,RM5 5WP,2191,722632,2024,2024-04
POL-CH001-00194,CH001,Avonbridge Underwriting,2024-04-15,2025-04-15,Commercial Property,Hall Ltd,L4 1ED,4206,859983,2024,2024-04
POL-CH001-00195,CH001,Avonbridge Underwriting,2024-04-10,2025-04-10,Commercial Property,"Gould, O'Neill and Knowles",HG56 6XE,3632,982355,2024,2024-04
POL-CH001-00196,CH001,Avonbridge Underwriting,2024-04-14,2025-04-14,Commercial Property,"Hudson, Johnston and Matthews",GL3M 6AW,2854,819744,2024,2024-04
POL-CH001-00197,CH001,Avonbridge Underwriting,2024-04-23,2025-04-23,Commercial Property,"Miles, Thompson and Williams",LN56 3FT,4351,959318,2024,2024-04
POL-CH001-00198,CH001,Avonbridge Underwriting,2024-04-24,2025-04-24,Commercial Property,Winter Inc,L4B 8UB,5096,611013,2024,2024-04
POL-CH001-00199,CH001,Avonbridge Underwriting,2024-04-26,2025-04-26,Commercial Property,"Wright, Clark and Lane",B65 1QN,2267,1121506,2024,2024-04
POL-CH001-00200,CH001,Avonbridge Underwriting,2024-04-18,2025-04-18,Commercial Property,Smith-Summers,DA27 6RF,4618,690946,2024,2024-04
POL-CH001-00201,CH001,Avonbridge Underwriting,2024-04-22,2025-04-22,Commercial Property,Robinson and Sons,OL5 7SX,6154,874580,2024,2024-04
POL-CH001-00202,CH001,Avonbridge Underwriting,2024-04-23,2025-04-23,Commercial Property,"Wall, Hayes and Ross",G5 9AJ,5685,864347,2024,2024-04
POL-CH001-00203,CH001,Avonbridge Underwriting,2024-04-16,2025-04-16,Commercial Property,Harris Ltd,B95 7TL,6796,1223009,2024,2024-04
POL-CH001-00204,CH001,Avonbridge Underwriting,2024-04-05,2025-04-05,Commercial Property,Riley LLC,BT9 0RP,3886,1056458,2024,2024-04
POL-CH001-00205,CH001,Avonbridge Underwriting,2024-04-07,2025-04-07,Commercial Property,Stevens-Smith,WS04 3LA,5013,1140834,2024,2024-04
POL-CH001-00206,CH001,Avonbridge Underwriting,2024-04-10,2025-04-10,Commercial Property,"Wilkinson, Miah and King",DH7R 4YZ,2984,995785,2024,2024-04
POL-CH001-00207,CH001,Avonbridge Underwriting,2024-04-07,2025-04-07,Commercial Property,Patel Inc,W6J 9DJ,5533,476267,2024,2024-04
POL-CH001-00208,CH001,Avonbridge Underwriting,2024-04-02,2025-04-02,Commercial Property,"Pearce, Bryant and Evans",L1 9HR,2709,416663,2024,2024-04
POL-CH001-00209,CH001,Avonbridge Underwriting,2024-04-19,2025-04-19,Commercial Property,"Watson, Smith and Macdonald",SR74 5QT,3860,1002477,2024,2024-04
POL-CH001-00210,CH001,Avonbridge Underwriting,2024-04-24,2025-04-24,Commercial Property,Lewis Inc,N97 5QY,6092,865745,2024,2024-04
POL-CH001-00211,CH001,Avonbridge Underwriting,2024-04-18,2025-04-18,Commercial Property,"Taylor, Robinson and Ali",CW87 2SZ,6252,556728,2024,2024-04
POL-CH002-00212,CH002,Meridian Risk Solutions,2024-04-02,2025-04-02,EL/PL Liability,Fisher LLC,KA6 4EB,3048,548008,2024,2024-04
POL-CH002-00213,CH002,Meridian Risk Solutions,2024-04-24,2025-04-24,EL/PL Liability,Burke Ltd,RG8 0LS,3069,241569,2024,2024-04
POL-CH002-00214,CH002,Meridian Risk Solutions,2024-04-11,2025-04-11,EL/PL Liability,Stevens LLC,M1 6YQ,3017,336941,2024,2024-04
POL-CH002-00215,CH002,Meridian Risk Solutions,2024-04-02,2025-04-02,EL/PL Liability,Smith LLC,B83 8NT,3722,545824,2024,2024-04
POL-CH002-00216,CH002,Meridian Risk Solutions,2024-04-02,2025-04-02,EL/PL Liability,Graham-Wright,GY0Y 5DY,2225,435766,2024,2024-04
POL-CH002-00217,CH002,Meridian Risk Solutions,2024-04-19,2025-04-19,EL/PL Liability,"Webb, Smith and Warren",ME0 0WS,2114,492165,2024,2024-04
POL-CH002-00218,CH002,Meridian Risk Solutions,2024-04-16,2025-04-16,EL/PL Liability,"Wheeler, Bolton and Harris",B2A 5LF,3988,376784,2024,2024-04
POL-CH002-00219,CH002,Meridian Risk Solutions,2024-04-17,2025-04-17,EL/PL Liability,"White, Collins and Webster",G8J 6FH,3568,433717,2024,2024-04
POL-CH002-00220,CH002,Meridian Risk Solutions,2024-04-28,2025-04-28,EL/PL Liability,"Ingram, Jones and Francis",L06 1PL,2362,486621,2024,2024-04
POL-CH002-00221,CH002,Meridian Risk Solutions,2024-04-17,2025-04-17,EL/PL Liability,"Jones, Todd and Mills",B19 5WT,2137,430793,2024,2024-04
POL-CH003-00222,CH003,Fortis Professional Risks,2024-04-06,2025-04-06,Professional Indemnity,"Powell, Tyler and Middleton",PO13 0SF,8741,1210579,2024,2024-04
POL-CH003-00223,CH003,Fortis Professional Risks,2024-04-02,2025-04-02,Professional Indemnity,Williams-Ali,SR66 3TR,4345,1264193,2024,2024-04
POL-CH003-00224,CH003,Fortis Professional Risks,2024-04-17,2025-04-17,Professional Indemnity,Morgan Inc,KW7 6GJ,5314,1133709,2024,2024-04
POL-CH003-00225,CH003,Fortis Professional Risks,2024-04-03,2025-04-03,Professional Indemnity,Chambers-Harper,IM0 2FS,6513,1427252,2024,2024-04
POL-CH003-00226,CH003,Fortis Professional Risks,2024-04-28,2025-04-28,Professional Indemnity,"Watkins, Gill and Howe",LD05 1GH,4624,1027254,2024,2024-04
POL-CH003-00227,CH003,Fortis Professional Risks,2024-04-06,2025-04-06,Professional Indemnity,Armstrong-Jackson,B66 3EH,5046,509423,2024,2024-04
POL-CH003-00228,CH003,Fortis Professional Risks,2024-04-03,2025-04-03,Professional Indemnity,Hill-Hayward,N4F 1HW,2999,1610062,2024,2024-04
POL-CH003-00229,CH003,Fortis Professional Risks,2024-04-20,2025-04-20,Professional Indemnity,Tyler-Ahmed,LA2 8EL,8214,1125289,2024,2024-04
POL-CH004-00230,CH004,Southgate Property Partners,2024-04-03,2025-04-03,Commercial Property,"Clarke, Cook and Ward",SL1 7TY,1968,707888,2024,2024-04
POL-CH004-00231,CH004,Southgate Property Partners,2024-04-04,2025-04-04,Commercial Property,Elliott-Phillips,SL1 1EG,2404,387208,2024,2024-04
POL-CH004-00232,CH004,Southgate Property Partners,2024-04-20,2025-04-20,Commercial Property,Lane-Burgess,SG1 5HN,1284,239355,2024,2024-04
POL-CH004-00233,CH004,Southgate Property Partners,2024-04-07,2025-04-07,Commercial Property,Phillips Ltd,SG1 4EA,1909,324364,2024,2024-04
POL-CH004-00234,CH004,Southgate Property Partners,2024-04-09,2025-04-09,Commercial Property,Kelly Ltd,AL1 8MF,1031,335342,2024,2024-04
POL-CH004-00235,CH004,Southgate Property Partners,2024-04-11,2025-04-11,Commercial Property,Alexander-Davies,SW6 1AZ,1215,568714,2024,2024-04
POL-CH004-00236,CH004,Southgate Property Partners,2024-04-15,2025-04-15,Commercial Property,Patterson-Kaur,EC1 2MY,2276,399202,2024,2024-04
POL-CH004-00237,CH004,Southgate Property Partners,2024-04-18,2025-04-18,Commercial Property,Jackson-Rice,RG1 3MG,2599,407736,2024,2024-04
POL-CH004-00238,CH004,Southgate Property Partners,2024-04-12,2025-04-12,Commercial Property,"Collins, Turner and Parker",SL1 6JS,1334,552312,2024,2024-04
POL-CH004-00239,CH004,Southgate Property Partners,2024-04-10,2025-04-10,Commercial Property,Jordan-Perry,AL1 9XO,2091,296275,2024,2024-04
POL-CH004-00240,CH004,Southgate Property Partners,2024-04-01,2025-04-01,Commercial Property,Brooks PLC,AL1 2YD,1697,312438,2024,2024-04
POL-CH004-00241,CH004,Southgate Property Partners,2024-04-05,2025-04-05,Commercial Property,"Johnson, Booth and Chadwick",EC1 9XJ,1053,492617,2024,2024-04
POL-CH004-00242,CH004,Southgate Property Partners,2024-04-05,2025-04-05,Commercial Property,Johnson-Khan,KT1 6OC,2831,260143,2024,2024-04
POL-CH005-00243,CH005,Ironclad Construction Risks,2024-04-07,2025-04-07,EL/PL Liability,Moore PLC,W6 9JD,2092,526931,2024,2024-04
POL-CH005-00244,CH005,Ironclad Construction Risks,2024-04-22,2025-04-22,EL/PL Liability,Preston Group,N9 1AU,2137,470401,2024,2024-04
POL-CH005-00245,CH005,Ironclad Construction Risks,2024-04-21,2025-04-21,EL/PL Liability,McKenzie and Sons,M57 3GF,2637,475357,2024,2024-04
POL-CH005-00246,CH005,Ironclad Construction Risks,2024-04-28,2025-04-28,EL/PL Liability,Clarke Ltd,PO8N 4DZ,2810,592464,2024,2024-04
POL-CH005-00247,CH005,Ironclad Construction Risks,2024-04-09,2025-04-09,EL/PL Liability,Foster-Murphy,TW1W 7YT,2413,463865,2024,2024-04
POL-CH005-00248,CH005,Ironclad Construction Risks,2024-04-17,2025-04-17,EL/PL Liability,Peacock PLC,WS4 8FD,2150,713308,2024,2024-04
POL-CH005-00249,CH005,Ironclad Construction Risks,2024-04-16,2025-04-16,EL/PL Liability,Gray-O'Brien,OX6N 0HH,2990,453366,2024,2024-04
POL-CH005-00250,CH005,Ironclad Construction Risks,2024-04-09,2025-04-09,EL/PL Liability,Lee-Baker,S36 4HD,2677,712708,2024,2024-04
POL-CH005-00251,CH005,Ironclad Construction Risks,2024-04-28,2025-04-28,EL/PL Liability,"Clements, Watson and Wilkins",BD12 4DY,1297,681504,2024,2024-04
POL-CH001-00252,CH001,Avonbridge Underwriting,2024-05-02,2025-05-02,Commercial Property,Roberts PLC,WS4 7JB,4918,687807,2024,2024-05
POL-CH001-00253,CH001,Avonbridge Underwriting,2024-05-03,2025-05-03,Commercial Property,Dixon PLC,W9 6WU,1925,504147,2024,2024-05
POL-CH001-00254,CH001,Avonbridge Underwriting,2024-05-21,2025-05-21,Commercial Property,Gray-Alexander,SN2 9BG,4260,905191,2024,2024-05
POL-CH001-00255,CH001,Avonbridge Underwriting,2024-05-14,2025-05-14,Commercial Property,Jones and Sons,N7J 6ZU,3060,985700,2024,2024-05
POL-CH001-00256,CH001,Avonbridge Underwriting,2024-05-27,2025-05-27,Commercial Property,"Owen, Fraser and Leonard",BD0W 9NU,2106,835958,2024,2024-05
POL-CH001-00257,CH001,Avonbridge Underwriting,2024-05-09,2025-05-09,Commercial Property,"Baker, Todd and Giles",S02 6PY,2674,711484,2024,2024-05
POL-CH001-00258,CH001,Avonbridge Underwriting,2024-05-02,2025-05-02,Commercial Property,"Taylor, Lees and Atkins",HS7 0ZY,4259,667162,2024,2024-05
POL-CH001-00259,CH001,Avonbridge Underwriting,2024-05-01,2025-05-01,Commercial Property,"Hawkins, Byrne and Mitchell",W03 8RP,3715,1063837,2024,2024-05
POL-CH001-00260,CH001,Avonbridge Underwriting,2024-05-11,2025-05-11,Commercial Property,"Grant, Bradley and Williams",L5W 5ER,3473,1027584,2024,2024-05
POL-CH001-00261,CH001,Avonbridge Underwriting,2024-05-25,2025-05-25,Commercial Property,Fletcher-Harrison,S0A 8AP,2776,962583,2024,2024-05
POL-CH001-00262,CH001,Avonbridge Underwriting,2024-05-05,2025-05-05,Commercial Property,Akhtar Inc,RG6 2EF,6016,324775,2024,2024-05
POL-CH001-00263,CH001,Avonbridge Underwriting,2024-05-21,2025-05-21,Commercial Property,Palmer Ltd,G3T 4QX,3195,972627,2024,2024-05
POL-CH001-00264,CH001,Avonbridge Underwriting,2024-05-09,2025-05-09,Commercial Property,Giles Inc,S5 8RJ,3944,928868,2024,2024-05
POL-CH001-00265,CH001,Avonbridge Underwriting,2024-05-06,2025-05-06,Commercial Property,Harris-Slater,PL26 4YB,3438,868400,2024,2024-05
POL-CH001-00266,CH001,Avonbridge Underwriting,2024-05-24,2025-05-24,Commercial Property,"Wilson, Blackburn and Kelly",B3A 3GP,4003,1098153,2024,2024-05
POL-CH001-00267,CH001,Avonbridge Underwriting,2024-05-15,2025-05-15,Commercial Property,Walker Inc,M7 9FR,4520,921740,2024,2024-05
POL-CH002-00268,CH002,Meridian Risk Solutions,2024-05-18,2025-05-18,EL/PL Liability,Howarth Inc,MK6 9GG,2646,445930,2024,2024-05
POL-CH002-00269,CH002,Meridian Risk Solutions,2024-05-23,2025-05-23,EL/PL Liability,Turner PLC,G4F 6XB,3466,447376,2024,2024-05
POL-CH002-00270,CH002,Meridian Risk Solutions,2024-05-14,2025-05-14,EL/PL Liability,"Evans, Smith and Kelly",N87 1DG,3369,759425,2024,2024-05
POL-CH002-00271,CH002,Meridian Risk Solutions,2024-05-18,2025-05-18,EL/PL Liability,Page-Baker,TW92 8AA,3910,459247,2024,2024-05
POL-CH002-00272,CH002,Meridian Risk Solutions,2024-05-01,2025-05-01,EL/PL Liability,"Clements, Williams and Newman",L4D 2SL,4217,448990,2024,2024-05
POL-CH002-00273,CH002,Meridian Risk Solutions,2024-05-04,2025-05-04,EL/PL Liability,Parsons-Rogers,E8J 0SJ,1204,373989,2024,2024-05
POL-CH002-00274,CH002,Meridian Risk Solutions,2024-05-03,2025-05-03,EL/PL Liability,"Chan, Akhtar and Harrison",N96 1ZU,1360,456060,2024,2024-05
POL-CH002-00275,CH002,Meridian Risk Solutions,2024-05-23,2025-05-23,EL/PL Liability,Jones Inc,G9 3NW,3117,709554,2024,2024-05
POL-CH002-00276,CH002,Meridian Risk Solutions,2024-05-05,2025-05-05,EL/PL Liability,Reynolds Ltd,ML9 9YP,3404,472612,2024,2024-05
POL-CH002-00277,CH002,Meridian Risk Solutions,2024-05-18,2025-05-18,EL/PL Liability,Scott-Hawkins,L41 4AY,3871,223608,2024,2024-05
POL-CH002-00278,CH002,Meridian Risk Solutions,2024-05-02,2025-05-02,EL/PL Liability,"Allen, Harrison and Harvey",TQ3R 3FE,3319,596358,2024,2024-05
POL-CH002-00279,CH002,Meridian Risk Solutions,2024-05-27,2025-05-27,EL/PL Liability,Moore Group,S8 4BJ,1724,642969,2024,2024-05
POL-CH002-00280,CH002,Meridian Risk Solutions,2024-05-12,2025-05-12,EL/PL Liability,Wallace Ltd,M0E 0TP,3414,448089,2024,2024-05
POL-CH003-00281,CH003,Fortis Professional Risks,2024-05-19,2025-05-19,Professional Indemnity,"Chambers, Whittaker and Richards",L1 0QX,9246,1254559,2024,2024-05
POL-CH003-00282,CH003,Fortis Professional Risks,2024-05-18,2025-05-18,Professional Indemnity,Morrison-Bowen,DE8H 8BU,5909,1062191,2024,2024-05
POL-CH003-00283,CH003,Fortis Professional Risks,2024-05-05,2025-05-05,Professional Indemnity,"Patel, Jennings and Mitchell",SR11 5LF,4097,1449100,2024,2024-05
POL-CH003-00284,CH003,Fortis Professional Risks,2024-05-14,2025-05-14,Professional Indemnity,Jenkins-North,L67 3HW,4087,1221469,2024,2024-05
POL-CH003-00285,CH003,Fortis Professional Risks,2024-05-05,2025-05-05,Professional Indemnity,Daly Inc,NN0Y 9EW,4711,1343693,2024,2024-05
POL-CH003-00286,CH003,Fortis Professional Risks,2024-05-02,2025-05-02,Professional Indemnity,"Ahmed, McCarthy and Barrett",B89 2XW,6050,1511261,2024,2024-05
POL-CH003-00287,CH003,Fortis Professional Risks,2024-05-10,2025-05-10,Professional Indemnity,"Taylor, Humphreys and Ali",E86 5XR,4658,1119037,2024,2024-05
POL-CH003-00288,CH003,Fortis Professional Risks,2024-05-12,2025-05-12,Professional Indemnity,Moore-Andrews,PL5V 4JN,3885,1066712,2024,2024-05
POL-CH003-00289,CH003,Fortis Professional Risks,2024-05-26,2025-05-26,Professional Indemnity,"Walsh, Watson and Smith",NR73 7YU,6122,1427096,2024,2024-05
POL-CH003-00290,CH003,Fortis Professional Risks,2024-05-28,2025-05-28,Professional Indemnity,"Stevens, Burgess and Reynolds",M5 8SA,3978,1460881,2024,2024-05
POL-CH004-00291,CH004,Southgate Property Partners,2024-05-02,2025-05-02,Commercial Property,Kennedy PLC,KT1 4BR,2023,587679,2024,2024-05
POL-CH004-00292,CH004,Southgate Property Partners,2024-05-22,2025-05-22,Commercial Property,Cooper Inc,EN1 3VO,1382,275534,2024,2024-05
POL-CH004-00293,CH004,Southgate Property Partners,2024-05-08,2025-05-08,Commercial Property,Hicks-Walsh,RH1 7GP,839,549604,2024,2024-05
POL-CH004-00294,CH004,Southgate Property Partners,2024-05-01,2025-05-01,Commercial Property,"Holden, King and Robinson",CM1 7GH,2153,394441,2024,2024-05
POL-CH004-00295,CH004,Southgate Property Partners,2024-05-26,2025-05-26,Commercial Property,Hall Inc,SL1 5PT,1951,287451,2024,2024-05
POL-CH004-00296,CH004,Southgate Property Partners,2024-05-06,2025-05-06,Commercial Property,Murray-Miles,EC1 7PU,3120,412922,2024,2024-05
POL-CH004-00297,CH004,Southgate Property Partners,2024-05-28,2025-05-28,Commercial Property,Smith Ltd,OL1 4QB,1859,472576,2024,2024-05
POL-CH004-00298,CH004,Southgate Property Partners,2024-05-07,2025-05-07,Commercial Property,Gilbert PLC,KT2 6PE,2059,422388,2024,2024-05
POL-CH004-00299,CH004,Southgate Property Partners,2024-05-10,2025-05-10,Commercial Property,Lucas-Begum,SM1 4YM,1373,447146,2024,2024-05
POL-CH004-00300,CH004,Southgate Property Partners,2024-05-01,2025-05-01,Commercial Property,Cross-Evans,DA1 6BK,2816,534542,2024,2024-05
POL-CH004-00301,CH004,Southgate Property Partners,2024-05-09,2025-05-09,Commercial Property,Doherty Inc,OX1 6ZR,2660,348878,2024,2024-05
POL-CH004-00302,CH004,Southgate Property Partners,2024-05-21,2025-05-21,Commercial Property,Williams-Burke,CM1 1MG,1265,387421,2024,2024-05
POL-CH004-00303,CH004,Southgate Property Partners,2024-05-04,2025-05-04,Commercial Property,"Quinn, Atkinson and Manning",RG1 3JI,1830,509419,2024,2024-05
POL-CH004-00304,CH004,Southgate Property Partners,2024-05-19,2025-05-19,Commercial Property,"Humphries, Singh and Nicholls",RG1 1DH,886,552955,2024,2024-05
POL-CH005-00305,CH005,Ironclad Construction Risks,2024-05-04,2025-05-04,EL/PL Liability,Edwards Ltd,B9T 8HJ,2267,448184,2024,2024-05
POL-CH005-00306,CH005,Ironclad Construction Risks,2024-05-20,2025-05-20,EL/PL Liability,"Ball, Hawkins and Forster",L26 5NQ,1309,723475,2024,2024-05
POL-CH005-00307,CH005,Ironclad Construction Risks,2024-05-14,2025-05-14,EL/PL Liability,"Brookes, Miller and Wilkins",KT3 0YS,2657,406505,2024,2024-05
POL-CH005-00308,CH005,Ironclad Construction Risks,2024-05-12,2025-05-12,EL/PL Liability,Cook Inc,BD5N 6DQ,1589,549632,2024,2024-05
POL-CH005-00309,CH005,Ironclad Construction Risks,2024-05-24,2025-05-24,EL/PL Liability,"Baker, Hewitt and Hall",B70 9HZ,3901,561061,2024,2024-05
POL-CH005-00310,CH005,Ironclad Construction Risks,2024-05-26,2025-05-26,EL/PL Liability,Owens and Sons,N2H 1AX,1427,563138,2024,2024-05
POL-CH005-00311,CH005,Ironclad Construction Risks,2024-05-11,2025-05-11,EL/PL Liability,Sullivan Inc,PO03 1ZR,2387,195467,2024,2024-05
POL-CH005-00312,CH005,Ironclad Construction Risks,2024-05-14,2025-05-14,EL/PL Liability,Charlton Group,LD1 5LX,2557,565359,2024,2024-05
POL-CH001-00313,CH001,Avonbridge Underwriting,2024-06-20,2025-06-20,Commercial Property,Holland-Clements,IV05 0GJ,6529,1089395,2024,2024-06
POL-CH001-00314,CH001,Avonbridge Underwriting,2024-06-17,2025-06-17,Commercial Property,"Farmer, Payne and Thompson",KW0A 2RR,3861,614863,2024,2024-06
POL-CH001-00315,CH001,Avonbridge Underwriting,2024-06-04,2025-06-04,Commercial Property,Leach-Ross,N53 0JB,7442,862583,2024,2024-06
POL-CH001-00316,CH001,Avonbridge Underwriting,2024-06-13,2025-06-13,Commercial Property,Jennings PLC,N8 7PS,4217,844873,2024,2024-06
POL-CH001-00317,CH001,Avonbridge Underwriting,2024-06-19,2025-06-19,Commercial Property,Jones Group,M4F 6EB,4449,819323,2024,2024-06
POL-CH001-00318,CH001,Avonbridge Underwriting,2024-06-07,2025-06-07,Commercial Property,"Lane, Summers and Preston",CW2N 1JS,3477,733792,2024,2024-06
POL-CH001-00319,CH001,Avonbridge Underwriting,2024-06-09,2025-06-09,Commercial Property,Lee-Hargreaves,PL9 1QU,4158,734522,2024,2024-06
POL-CH001-00320,CH001,Avonbridge Underwriting,2024-06-02,2025-06-02,Commercial Property,Arnold and Sons,W82 5FH,3301,872616,2024,2024-06
POL-CH001-00321,CH001,Avonbridge Underwriting,2024-06-23,2025-06-23,Commercial Property,Taylor Inc,L0G 5YD,3878,1169598,2024,2024-06
POL-CH001-00322,CH001,Avonbridge Underwriting,2024-06-14,2025-06-14,Commercial Property,"Simmons, Lee and Holland",N2S 9WG,859,1081945,2024,2024-06
POL-CH001-00323,CH001,Avonbridge Underwriting,2024-06-01,2025-06-01,Commercial Property,Rose and Sons,L8 8ES,5770,409404,2024,2024-06
POL-CH001-00324,CH001,Avonbridge Underwriting,2024-06-17,2025-06-17,Commercial Property,Price and Sons,L6 9UB,3768,771068,2024,2024-06
POL-CH001-00325,CH001,Avonbridge Underwriting,2024-06-26,2025-06-26,Commercial Property,Moran Ltd,BD0Y 5LQ,2426,684713,2024,2024-06
POL-CH001-00326,CH001,Avonbridge Underwriting,2024-06-18,2025-06-18,Commercial Property,Ward and Sons,BR5 1SH,2800,1222357,2024,2024-06
POL-CH001-00327,CH001,Avonbridge Underwriting,2024-06-22,2025-06-22,Commercial Property,Turner-Clarke,W0 2DT,5378,1120205,2024,2024-06
POL-CH001-00328,CH001,Avonbridge Underwriting,2024-06-24,2025-06-24,Commercial Property,Robertson-Barker,S5T 8UH,5109,610076,2024,2024-06
POL-CH001-00329,CH001,Avonbridge Underwriting,2024-06-24,2025-06-24,Commercial Property,Howe Ltd,G75 2TR,3539,953992,2024,2024-06
POL-CH001-00330,CH001,Avonbridge Underwriting,2024-06-24,2025-06-24,Commercial Property,Burns-Macdonald,N3U 2UJ,2660,1001512,2024,2024-06
POL-CH001-00331,CH001,Avonbridge Underwriting,2024-06-22,2025-06-22,Commercial Property,Connor-Robertson,E2C 3YS,3897,770350,2024,2024-06
POL-CH002-00332,CH002,Meridian Risk Solutions,2024-06-07,2025-06-07,EL/PL Liability,Jones LLC,IM5W 9DR,3513,454879,2024,2024-06
POL-CH002-00333,CH002,Meridian Risk Solutions,2024-06-12,2025-06-12,EL/PL Liability,Davies-Jones,B4 7WU,4178,364867,2024,2024-06
POL-CH002-00334,CH002,Meridian Risk Solutions,2024-06-14,2025-06-14,EL/PL Liability,"Freeman, Robinson and Murray",LN5 8SZ,3672,574137,2024,2024-06
POL-CH002-00335,CH002,Meridian Risk Solutions,2024-06-03,2025-06-03,EL/PL Liability,"Walsh, Quinn and Roberts",SG24 2LZ,2812,540766,2024,2024-06
POL-CH002-00336,CH002,Meridian Risk Solutions,2024-06-22,2025-06-22,EL/PL Liability,Patel LLC,M3K 3EB,1936,615503,2024,2024-06
POL-CH002-00337,CH002,Meridian Risk Solutions,2024-06-11,2025-06-11,EL/PL Liability,Graham-Atkinson,B7 0NA,2928,434659,2024,2024-06
POL-CH002-00338,CH002,Meridian Risk Solutions,2024-06-20,2025-06-20,EL/PL Liability,Evans-Farrell,EX0H 4JN,4075,411957,2024,2024-06
POL-CH002-00339,CH002,Meridian Risk Solutions,2024-06-11,2025-06-11,EL/PL Liability,"Humphreys, Mahmood and Powell",S29 8JG,1790,305421,2024,2024-06
POL-CH002-00340,CH002,Meridian Risk Solutions,2024-06-22,2025-06-22,EL/PL Liability,Brooks-Singh,G79 2BG,3663,339946,2024,2024-06
POL-CH002-00341,CH002,Meridian Risk Solutions,2024-06-28,2025-06-28,EL/PL Liability,Nolan Ltd,S7T 6BZ,4731,239758,2024,2024-06
POL-CH002-00342,CH002,Meridian Risk Solutions,2024-06-04,2025-06-04,EL/PL Liability,Sullivan Group,E27 5DZ,4677,526377,2024,2024-06
POL-CH002-00343,CH002,Meridian Risk Solutions,2024-06-24,2025-06-24,EL/PL Liability,Tomlinson-Morgan,L5 9EB,3010,431885,2024,2024-06
POL-CH002-00344,CH002,Meridian Risk Solutions,2024-06-10,2025-06-10,EL/PL Liability,Pearson PLC,DN5M 4DR,3471,495295,2024,2024-06
POL-CH002-00345,CH002,Meridian Risk Solutions,2024-06-17,2025-06-17,EL/PL Liability,Chambers LLC,B4 0DD,4126,514278,2024,2024-06
